INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00001', 'ST0002', TO_TIMESTAMP('2025-01-15 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00002', 'ST0009', TO_TIMESTAMP('2025-01-17 11:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00003', 'ST0034', TO_TIMESTAMP('2025-08-25 08:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00004', 'ST0055', TO_TIMESTAMP('2025-02-01 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00005', 'ST0096', TO_TIMESTAMP('2025-02-05 14:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00006', 'ST0097', TO_TIMESTAMP('2025-08-26 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00007', 'ST0099', TO_TIMESTAMP('2025-02-10 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00008', 'ST0108', TO_TIMESTAMP('2025-02-12 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00009', 'ST0129', TO_TIMESTAMP('2025-02-28 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00010', 'ST0157', TO_TIMESTAMP('2025-08-27 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00011', 'ST0160', TO_TIMESTAMP('2025-03-05 08:30:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00012', 'ST0180', TO_TIMESTAMP('2025-03-10 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00013', 'ST0215', TO_TIMESTAMP('2025-03-12 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00014', 'ST0260', TO_TIMESTAMP('2025-03-15 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00015', 'ST0304', TO_TIMESTAMP('2025-08-28 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00016', 'ST0306', TO_TIMESTAMP('2025-03-18 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00017', 'ST0365', TO_TIMESTAMP('2025-03-20 14:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00018', 'ST0375', TO_TIMESTAMP('2025-03-22 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00019', 'ST0377', TO_TIMESTAMP('2025-03-25 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00020', 'ST0390', TO_TIMESTAMP('2025-08-29 08:30:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00021', 'ST0399', TO_TIMESTAMP('2025-03-28 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00022', 'ST0407', TO_TIMESTAMP('2025-03-29 11:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00023', 'ST0427', TO_TIMESTAMP('2025-08-30 08:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00024', 'ST0480', TO_TIMESTAMP('2025-03-30 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00025', 'ST0002', TO_TIMESTAMP('2025-03-31 14:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00026', 'ST0009', TO_TIMESTAMP('2025-08-31 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00027', 'ST0034', TO_TIMESTAMP('2025-04-01 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00028', 'ST0055', TO_TIMESTAMP('2025-04-02 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00029', 'ST0096', TO_TIMESTAMP('2025-04-02 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00030', 'ST0097', TO_TIMESTAMP('2025-09-01 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00031', 'ST0099', TO_TIMESTAMP('2025-04-04 08:30:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00032', 'ST0108', TO_TIMESTAMP('2025-04-05 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00033', 'ST0129', TO_TIMESTAMP('2025-04-06 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00034', 'ST0157', TO_TIMESTAMP('2025-04-07 14:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00035', 'ST0160', TO_TIMESTAMP('2025-09-02 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00036', 'ST0180', TO_TIMESTAMP('2025-04-08 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00037', 'ST0215', TO_TIMESTAMP('2025-04-09 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00038', 'ST0260', TO_TIMESTAMP('2025-04-10 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
