INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000001', 'CU0050', 'T00000000001', 25.00, 20.00, 50, 5.00, 'completed', TO_TIMESTAMP('2025-04-20 13:30', 'YYYY-MM-DD HH24:MI'), 'RCPT-00001', 'Payment for T00000000001', 'E-Wallet', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000002', 'CU0098', 'T00000000002', 35.00, 35.00, 0, 0.00, 'completed', TO_TIMESTAMP('2025-04-09 15:30', 'YYYY-MM-DD HH24:MI'), 'RCPT-00002', 'Payment for T00000000002', 'E-Wallet', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000003', 'CU0001', 'T00000000003', 35.00, 15.00, 200, 20.00, 'completed', TO_TIMESTAMP('2025-04-05 14:30', 'YYYY-MM-DD HH24:MI'), 'RCPT-00003', 'Payment for T00000000003', 'Cash', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000004', 'CU0002', 'T00000000004', 25.00, 5.00, 200, 20.00, 'completed', TO_TIMESTAMP('2025-04-14 08:30', 'YYYY-MM-DD HH24:MI'), 'RCPT-00004', 'Payment for T00000000004', 'E-Wallet', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000005', 'CU0060', 'T00000000005', 35.00, 30.00, 50, 5.00, 'completed', TO_TIMESTAMP('2025-04-05 19:15', 'YYYY-MM-DD HH24:MI'), 'RCPT-00005', 'Payment for T00000000005', 'Credit Card', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000006', 'CU0085', 'T00000000006', 20.00, 10.00, 100, 10.00, 'completed', TO_TIMESTAMP('2025-03-20 19:30', 'YYYY-MM-DD HH24:MI'), 'RCPT-00006', 'Payment for T00000000006', 'E-Wallet', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000007', 'CU0016', 'T00000000007', 30.00, 25.00, 50, 5.00, 'completed', TO_TIMESTAMP('2025-04-27 17:45', 'YYYY-MM-DD HH24:MI'), 'RCPT-00007', 'Payment for T00000000007', 'E-Wallet', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000008', 'CU0057', 'T00000000008', 25.00, 5.00, 200, 20.00, 'completed', TO_TIMESTAMP('2025-03-30 10:15', 'YYYY-MM-DD HH24:MI'), 'RCPT-00008', 'Payment for T00000000008', 'E-Wallet', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000009', 'CU0047', 'T00000000009', 20.00, 10.00, 100, 10.00, 'completed', TO_TIMESTAMP('2025-03-15 06:15', 'YYYY-MM-DD HH24:MI'), 'RCPT-00009', 'Payment for T00000000009', 'E-Wallet', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000010', 'CU0067', 'T00000000010', 20.00, 10.00, 100, 10.00, 'completed', TO_TIMESTAMP('2025-03-26 16:30', 'YYYY-MM-DD HH24:MI'), 'RCPT-00010', 'Payment for T00000000010', 'E-Wallet', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000011', 'CU0075', 'T00000000011', 35.00, 25.00, 100, 10.00, 'completed', TO_TIMESTAMP('2025-03-05 19:15', 'YYYY-MM-DD HH24:MI'), 'RCPT-00011', 'Payment for T00000000011', 'Credit Card', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000012', 'CU0045', 'T00000000012', 40.00, 40.00, 0, 0.00, 'completed', TO_TIMESTAMP('2025-04-05 09:30', 'YYYY-MM-DD HH24:MI'), 'RCPT-00012', 'Payment for T00000000012', 'Credit Card', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000013', 'CU0063', 'T00000000013', 35.00, 35.00, 0, 0.00, 'completed', TO_TIMESTAMP('2025-03-25 13:00', 'YYYY-MM-DD HH24:MI'), 'RCPT-00013', 'Payment for T00000000013', 'E-Wallet', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000014', 'CU0016', 'T00000000014', 25.00, 20.00, 50, 5.00, 'completed', TO_TIMESTAMP('2025-04-30 12:15', 'YYYY-MM-DD HH24:MI'), 'RCPT-00014', 'Payment for T00000000014', 'Credit Card', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000015', 'CU0091', 'T00000000015', 40.00, 35.00, 50, 5.00, 'completed', TO_TIMESTAMP('2025-04-17 15:00', 'YYYY-MM-DD HH24:MI'), 'RCPT-00015', 'Payment for T00000000015', 'Credit Card', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000016', 'CU0078', 'T00000000016', 25.00, 25.00, 0, 0.00, 'completed', TO_TIMESTAMP('2025-03-24 16:45', 'YYYY-MM-DD HH24:MI'), 'RCPT-00016', 'Payment for T00000000016', 'Credit Card', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000017', 'CU0067', 'T00000000017', 35.00, 30.00, 50, 5.00, 'completed', TO_TIMESTAMP('2025-04-23 20:45', 'YYYY-MM-DD HH24:MI'), 'RCPT-00017', 'Payment for T00000000017', 'Credit Card', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000018', 'CU0064', 'T00000000018', 25.00, 25.00, 0, 0.00, 'completed', TO_TIMESTAMP('2025-04-29 17:45', 'YYYY-MM-DD HH24:MI'), 'RCPT-00018', 'Payment for T00000000018', 'E-Wallet', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000019', 'CU0053', 'T00000000019', 25.00, 15.00, 100, 10.00, 'completed', TO_TIMESTAMP('2025-03-14 14:15', 'YYYY-MM-DD HH24:MI'), 'RCPT-00019', 'Payment for T00000000019', 'Cash', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000020', 'CU0054', 'T00000000020', 35.00, 25.00, 100, 10.00, 'completed', TO_TIMESTAMP('2025-04-17 07:15', 'YYYY-MM-DD HH24:MI'), 'RCPT-00020', 'Payment for T00000000020', 'Credit Card', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000021', 'CU0056', 'T00000000021', 35.00, 30.00, 50, 5.00, 'completed', TO_TIMESTAMP('2025-03-14 20:00', 'YYYY-MM-DD HH24:MI'), 'RCPT-00021', 'Payment for T00000000021', 'Cash', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000022', 'CU0063', 'T00000000022', 40.00, 35.00, 50, 5.00, 'completed', TO_TIMESTAMP('2025-04-13 14:45', 'YYYY-MM-DD HH24:MI'), 'RCPT-00022', 'Payment for T00000000022', 'Credit Card', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000023', 'CU0004', 'T00000000023', 30.00, 25.00, 50, 5.00, 'completed', TO_TIMESTAMP('2025-03-07 10:15', 'YYYY-MM-DD HH24:MI'), 'RCPT-00023', 'Payment for T00000000023', 'Cash', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000024', 'CU0072', 'T00000000024', 35.00, 15.00, 200, 20.00, 'completed', TO_TIMESTAMP('2025-03-12 14:45', 'YYYY-MM-DD HH24:MI'), 'RCPT-00024', 'Payment for T00000000024', 'Credit Card', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000025', 'CU0063', 'T00000000025', 25.00, 20.00, 50, 5.00, 'completed', TO_TIMESTAMP('2025-03-14 12:15', 'YYYY-MM-DD HH24:MI'), 'RCPT-00025', 'Payment for T00000000025', 'Credit Card', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000026', 'CU0092', 'T00000000026', 25.00, 5.00, 200, 20.00, 'completed', TO_TIMESTAMP('2025-04-10 12:00', 'YYYY-MM-DD HH24:MI'), 'RCPT-00026', 'Payment for T00000000026', 'Cash', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000027', 'CU0053', 'T00000000027', 30.00, 20.00, 100, 10.00, 'completed', TO_TIMESTAMP('2025-04-13 08:00', 'YYYY-MM-DD HH24:MI'), 'RCPT-00027', 'Payment for T00000000027', 'E-Wallet', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000028', 'CU0021', 'T00000000028', 25.00, 20.00, 50, 5.00, 'completed', TO_TIMESTAMP('2025-04-20 11:30', 'YYYY-MM-DD HH24:MI'), 'RCPT-00028', 'Payment for T00000000028', 'Cash', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000029', 'CU0099', 'T00000000029', 20.00, 0.00, 200, 20.00, 'completed', TO_TIMESTAMP('2025-03-06 08:45', 'YYYY-MM-DD HH24:MI'), 'RCPT-00029', 'Payment for T00000000029', 'Credit Card', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000030', 'CU0039', 'T00000000030', 30.00, 10.00, 200, 20.00, 'completed', TO_TIMESTAMP('2025-03-21 11:00', 'YYYY-MM-DD HH24:MI'), 'RCPT-00030', 'Payment for T00000000030', 'Credit Card', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000031', 'CU0030', 'T00000000031', 35.00, 35.00, 0, 0.00, 'completed', TO_TIMESTAMP('2025-03-13 11:45', 'YYYY-MM-DD HH24:MI'), 'RCPT-00031', 'Payment for T00000000031', 'Cash', 'ticket');
