INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000001', 'S000010', 'BP221', TO_TIMESTAMP('2025-03-13 06:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-13 06:49', 'YYYY-MM-DD HH24:MI'), 'cancelled', 'Trip cancelled due to low demand');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000002', 'S000098', 'BP204', TO_TIMESTAMP('2025-03-25 07:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-25 07:19', 'YYYY-MM-DD HH24:MI'), 'arrived', 'Reached as scheduled');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000003', 'S000025', 'BP214', TO_TIMESTAMP('2025-03-04 06:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-04 06:43', 'YYYY-MM-DD HH24:MI'), 'cancelled', 'Trip cancelled due to low demand');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000004', 'S000026', 'BP016', TO_TIMESTAMP('2025-03-01 07:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-01 08:20', 'YYYY-MM-DD HH24:MI'), 'delayed', 'Mechanical issue delayed departure');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000005', 'S000014', 'BP074', TO_TIMESTAMP('2025-03-26 12:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-26 13:12', 'YYYY-MM-DD HH24:MI'), 'arrived', 'Reached as scheduled');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000006', 'S000064', 'BP222', TO_TIMESTAMP('2025-03-17 13:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-17 14:45', 'YYYY-MM-DD HH24:MI'), 'departed', 'Left platform as planned');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000007', 'S000079', 'BP037', TO_TIMESTAMP('2025-03-07 07:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-07 07:30', 'YYYY-MM-DD HH24:MI'), 'delayed', 'Weather conditions caused delay');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000008', 'S000029', 'BP366', TO_TIMESTAMP('2025-03-08 09:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-08 09:23', 'YYYY-MM-DD HH24:MI'), 'cancelled', 'Trip cancelled due to breakdown');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000009', 'S000027', 'BP281', TO_TIMESTAMP('2025-03-08 14:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-08 14:46', 'YYYY-MM-DD HH24:MI'), 'delayed', 'Traffic jam caused delay');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000010', 'S000012', 'BP021', TO_TIMESTAMP('2025-03-05 07:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-05 07:12', 'YYYY-MM-DD HH24:MI'), 'delayed', 'Traffic jam caused delay');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000011', 'S000030', 'BP380', TO_TIMESTAMP('2025-03-29 07:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-29 08:52', 'YYYY-MM-DD HH24:MI'), 'departed', 'Departed on time');
