INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40001, 4289, 80069, 50030, TO_DATE('2022-06-24 02:25:54', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2021-11-26 04:22:18', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40002, 4179, 80353, 50164, TO_DATE('2020-04-23 15:11:47', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-06-06 09:59:44', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40003, 4288, 80199, 50133, TO_DATE('2022-06-12 03:41:32', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2022-12-21 20:19:55', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40004, 4191, 80179, 50168, TO_DATE('2022-01-13 14:03:56', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2023-01-28 07:49:38', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40005, 4356, 80073, 50341, TO_DATE('2022-06-02 16:35:03', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2022-09-21 17:01:14', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40006, 4442, 80405, 50253, TO_DATE('2022-10-21 23:17:17', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2021-11-11 22:07:18', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40007, 4420, 80032, 50436, TO_DATE('2021-01-12 04:38:59', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-10-16 18:49:40', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40008, 4498, 80423, 50031, TO_DATE('2023-01-25 15:58:28', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2022-01-13 21:26:07', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40009, 4215, 80111, 50500, TO_DATE('2023-08-24 08:43:49', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2021-09-18 11:36:21', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40010, 4153, 80326, 50470, TO_DATE('2020-10-29 17:50:08', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2022-10-30 10:16:32', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40011, 4165, 80089, 50456, TO_DATE('2020-07-25 09:30:50', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-08-25 01:13:42', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
