INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80001, 318, 'BUS80001', 'Recognize Model', 36, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80002, 303, 'BUS80002', 'Director Model', 47, 'Active', 2023, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80003, 307, 'BUS80003', 'Future Model', 37, 'Active', 2018, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80004, 312, 'BUS80004', 'Give Model', 33, 'Active', 2018, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80005, 304, 'BUS80005', 'Carry Model', 42, 'Active', 2019, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80006, 309, 'BUS80006', 'Medical Model', 34, 'Active', 2022, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80007, 315, 'BUS80007', 'Yeah Model', 42, 'Active', 2023, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80008, 314, 'BUS80008', 'Response Model', 36, 'Active', 2022, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80009, 301, 'BUS80009', 'Role Model', 38, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80010, 319, 'BUS80010', 'He Model', 39, 'Active', 2018, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80011, 310, 'BUS80011', 'Near Model', 35, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80012, 313, 'BUS80012', 'Note Model', 50, 'Active', 2018, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80013, 312, 'BUS80013', 'Couple Model', 33, 'Active', 2018, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80014, 313, 'BUS80014', 'Strategy Model', 50, 'Active', 2023, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80015, 316, 'BUS80015', 'Relationship Model', 32, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80016, 314, 'BUS80016', 'Move Model', 36, 'Active', 2020, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80017, 305, 'BUS80017', 'Mention Model', 37, 'Active', 2020, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80018, 320, 'BUS80018', 'Suggest Model', 34, 'Active', 2023, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80019, 307, 'BUS80019', 'Some Model', 31, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80020, 310, 'BUS80020', 'With Model', 33, 'Active', 2019, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80021, 306, 'BUS80021', 'Sing Model', 30, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80022, 316, 'BUS80022', 'Player Model', 39, 'Active', 2020, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80023, 320, 'BUS80023', 'Another Model', 30, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80024, 312, 'BUS80024', 'Or Model', 39, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80025, 310, 'BUS80025', 'Minute Model', 30, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80026, 313, 'BUS80026', 'Per Model', 46, 'Active', 2022, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80027, 317, 'BUS80027', 'Total Model', 50, 'Active', 2019, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80028, 317, 'BUS80028', 'Yes Model', 40, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80029, 310, 'BUS80029', 'Significant Model', 37, 'Active', 2019, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80030, 313, 'BUS80030', 'Food Model', 43, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80031, 312, 'BUS80031', 'Suddenly Model', 43, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80032, 308, 'BUS80032', 'Health Model', 44, 'Active', 2019, 'Standard Coach');
